title,num_postings,avg_min_salary,avg_med_salary,avg_max_salary,avg_annual_salary
Journeyman Service Electrician,1,,250000.000000000000,,250000.000000000000
Outpatient Primary Care Physician (Family or Internal Medicine),1,,250000.000000000000,,250000.000000000000
FVP Head of Defined Contribution Distribution | Flex,1,,250000.000000000000,,250000.000000000000
Commercial Solar Sales Representative,1,,250000.000000000000,,250000.000000000000
MUSC Health Regional CRNA Director,1,,250000.000000000000,,250000.000000000000
"Senior Quality Assurance Manager, BPO, Commercial",1,,248000.000000000000,,248000.000000000000
"Senior Manager, Sales Business Development (Remote)",1,,246000.000000000000,,246000.000000000000
"Obstetrics & Gynecology Physician - $240,000/yearly",1,,240000.000000000000,,240000.000000000000
Director of Portfolio Analytics (Full Stack Development),1,,235000.000000000000,,235000.000000000000
Director of Medicine,1,,233615.000000000000,,233615.000000000000
Physician Family Practice,1,,230000.000000000000,,230000.000000000000
SAP System Analyst,1,,110.0000000000000000,,228800.000000000000
"Senior AWS Cloud Ops Engineer (CLDOPS-03) // 100% On-Site Bethesda, MD",1,,110.0000000000000000,,228800.000000000000
Chief Acquisition Specialist,1,,225000.000000000000,,225000.000000000000
Business             Analyst,1,,225000.000000000000,,225000.000000000000
Business           Analyst,1,,225000.000000000000,,225000.000000000000
"Family Practice-Without OB Physician - $225,000/yearly - $250/yearly",1,,225000.000000000000,,225000.000000000000
Account                    Executive,1,,225000.000000000000,,225000.000000000000
Senior Director – East Coast Acquisitions,1,,225000.000000000000,,225000.000000000000
VP Investment Management Compliance (MNPI)- $45 Billion Alternative Asset Manager,1,,225000.000000000000,,225000.000000000000
Lead ICFR Analyst,1,,107.0000000000000000,,222560.000000000000
Staff Site Reliability Engineer (Remote),1,,220000.000000000000,,220000.000000000000
Advanced Technology Organization Grid AI/ML Lead,2,,218000.000000000000,,218000.000000000000
Senior Application Security Engineer (326700),1,,103.0400000000000000,,214323.200000000000
Remote - Senior Lead Auditor,1,,210000.000000000000,,210000.000000000000
Senior Essbase Consultant ,1,,100.0000000000000000,,208000.000000000000
Change Management - Learning & Development Consultant,1,,100.0000000000000000,,208000.000000000000
"Sr. Manager, Outsourcing and Contracts",1,,100.0000000000000000,,208000.000000000000
Senior Essbase Developer ,1,,100.0000000000000000,,208000.000000000000
"Director, Information Security",1,,206000.000000000000,,206000.000000000000
Dentist Hourly,1,,98.5600000000000000,,205004.800000000000
Per diem Physician Assistant - SICU,1,,98.0000000000000000,,203840.000000000000
Technology Specialist III - Senior Cloud Database Architect & Engineer - Digital and Technology Partners - Remote,1,,202155.000000000000,,202155.000000000000
Director of Software Engineering,1,,200000.000000000000,,200000.000000000000
Principal Consultant - Utility Prudence Expert,1,,200000.000000000000,,200000.000000000000
Experienced Growth Consultants with OD/OCM experience,1,,200000.000000000000,,200000.000000000000
"Psychiatric-Mental Health Physician - $200,000/yearly",1,,200000.000000000000,,200000.000000000000
Associate Dentist,1,,200000.000000000000,,200000.000000000000
Lead Machine Learning Engineer,1,,200000.000000000000,,200000.000000000000
"Sr. Counsel, Business & Legal Affairs",1,,200000.000000000000,,200000.000000000000
Principal Consultant - Gas Pipeline/FERC Expert,1,,200000.000000000000,,200000.000000000000
Data Architect,1,,200000.000000000000,,200000.000000000000
Migration Specialist,1,,96.0000000000000000,,199680.000000000000
Senior Application Security Engineer,1,,96.0000000000000000,,199680.000000000000
"Locum Dermatology Nurse Practitioner job in Marysville, KY - Make $95/hr - $110/hr",1,,95.0000000000000000,,197600.000000000000
Deviation Investigator,1,,95.0000000000000000,,197600.000000000000
"Locum Emergency Medicine Physician Assistant job in Chattanooga, TN - Make $95/hr - $105/hr",1,,95.0000000000000000,,197600.000000000000
Business System Analyst,1,,95.0000000000000000,,197600.000000000000
"Locum Emergency Medicine Nurse Practitioner job in Chattanooga, TN - Make $95/hr - $105/hr",1,,95.0000000000000000,,197600.000000000000
Postgres Evangelist,1,,190000.000000000000,,190000.000000000000
"Associate Vice Chancellor, Enrollment Management",1,,190000.000000000000,,190000.000000000000
"Certified Anesthesiologist Assistant - $15,000 SIGN ON BONUS!",1,,190000.000000000000,,190000.000000000000
"Senior Manager, LATAM and ROW Content Program",1,,91.2000000000000000,,189696.000000000000
Mainframe Engineer,1,,91.0000000000000000,,189280.000000000000
Remote Licensed Mental Health Counselor,11,,90.5454545454545455,,188334.545454545455
Economist Advisor (Multi-year Contract),1,,90.0000000000000000,,187200.000000000000
Legal AI Tutor (JD Required),1,,90.0000000000000000,,187200.000000000000
"SRE / Software Engineer (Kubernetes, AWS)",1,,90.0000000000000000,,187200.000000000000
Sr. Technical Program Manager,1,,90.0000000000000000,,187200.000000000000
Product Marketing Manager,1,,90.0000000000000000,,187200.000000000000
"Clinician (Contractor, Washington) - Hybrid",1,,90.0000000000000000,,187200.000000000000
Material Handler I,1,,90.0000000000000000,,187200.000000000000
Sr. Cybersecurity Manager,1,,90.0000000000000000,,187200.000000000000
Hygienist,1,,90.0000000000000000,,187200.000000000000
SAP Technical Lead,1,,90.0000000000000000,,187200.000000000000
Medical AI Tutor (MD Required),1,,90.0000000000000000,,187200.000000000000
Academic Program Manager,1,,90.0000000000000000,,187200.000000000000
HR Generalist,2,,90.0000000000000000,,187200.000000000000
Remote Licensed Psychiatric Nurse Practitioner,1,,89.0000000000000000,,185120.000000000000
Fair Lending Compliance Officer,1,,185000.000000000000,,185000.000000000000
Controller,2,,100040.000000000000,,183200.000000000000
"Physician Assistant, Per Diem - Surgical Services",1,,88.0000000000000000,,183040.000000000000
Nurse - CNA - Med Surg,1,,88.0000000000000000,,183040.000000000000
"Physician Assistant, Per Diem - Internal Medicine",1,,88.0000000000000000,,183040.000000000000
Senior MDM Architect,1,,87.7500000000000000,,182520.000000000000
Remote Licensed Clinical Psychologist,3,,87.6666666666666667,,182346.666666666667
Director of Development Services,1,,180000.000000000000,,180000.000000000000
Senior Full Stack Engineer,1,,180000.000000000000,,180000.000000000000
Strategic Logistics Growth Manager,1,,180000.000000000000,,180000.000000000000
"Engineering Manager, Core Banking (role is based in Singapore)",1,,180000.000000000000,,180000.000000000000
Senior Director of Business Development and Program Management,1,,180000.000000000000,,180000.000000000000
Director of Pharmacy,1,,180000.000000000000,,180000.000000000000
"Director, Strategy and Analytics",1,,180000.000000000000,,180000.000000000000
Senior Systems Software Engineer-REMOTE,1,,179000.000000000000,,179000.000000000000
Remote Licensed Professional Counselor,1,,86.0000000000000000,,178880.000000000000
Full Stack Developer - Angular,1,,86.0000000000000000,,178880.000000000000
Senior Piping Designer (DOE Project),1,,85.0000000000000000,,176800.000000000000
Sr. Pipe Stress Engineer,1,,85.0000000000000000,,176800.000000000000
Operating Room - Registered Nurse,1,,85.0000000000000000,,176800.000000000000
"Locum Cardiology Nurse Practitioner job in Cambridge, OH - Make $85/hr - $100/hr",1,,85.0000000000000000,,176800.000000000000
Senior Director Clinical Programs,1,,85.0000000000000000,,176800.000000000000
Cloud Security Architect,1,,85.0000000000000000,,176800.000000000000
Program/Project/Product Manager-Treasury Management-BANKING,1,,85.0000000000000000,,176800.000000000000
Temporary Supervisor - Risk Technology Consulting (Global Banks),1,,85.0000000000000000,,176800.000000000000
NMC_000213 - Jira Administrator (W2 only),1,,85.0000000000000000,,176800.000000000000
Data Capability Development Lead | Remote,1,,85.0000000000000000,,176800.000000000000
Group Social Strategy Director,1,,175000.000000000000,,175000.000000000000
Database Developer (DB2 preferred),1,,175000.000000000000,,175000.000000000000
Work From Home Remote Sales Specialist,1,,175000.000000000000,,175000.000000000000
Associate Director- Automation Integration & System Protection,1,,175000.000000000000,,175000.000000000000
Marketing Role,1,,175000.000000000000,,175000.000000000000
Marketing  Role - Internal,1,,175000.000000000000,,175000.000000000000
"Senior Business Development Manager, Community Solar (Boston,MA)",1,,175000.000000000000,,175000.000000000000
Home-Based Remote Sales Representative Work From Home,2,,175000.000000000000,,175000.000000000000
"HOA Director, Fueling M&O",1,,175000.000000000000,,175000.000000000000
Project Development Engineer (Steep Slope),1,,175000.000000000000,,175000.000000000000
"Life Sciences and Biopharma Analyst, Event-Driven Investment Fund (Hybrid Suburban NY)",1,,175000.000000000000,,175000.000000000000
Sr. Agile Project Manager,1,,84.0000000000000000,,174720.000000000000
Remote Licensed Marriage and Family Therapist,1,,84.0000000000000000,,174720.000000000000
"Administrative Nursing Supervisor, RN",1,,83.6500000000000000,,173992.000000000000
Applications Development Senior Programmer Analyst,1,,173500.000000000000,,173500.000000000000
"Licensed Clinical Social Worker Regional Manager, North Bay",1,,83.2300000000000000,,173118.400000000000
"Bureau Director, Technology Support Bureau ",1,,14242.0000000000000000,,170904.000000000000
Product Analyst,1,,82.0000000000000000,,170560.000000000000
Wireless Engineer IV (Team Lead),1,,82.0000000000000000,,170560.000000000000
Logistics Management Specialist with Security Clearance,1,,170000.000000000000,,170000.000000000000
"Medical Science Liaison, Pulmonology - Southeast",1,,169181.000000000000,,169181.000000000000
Data Analyst-Tech Cons-Data and Anltcs-Data Governance and Ctrls-FSO-Manager-Multiple Postns-1499053,1,,168850.000000000000,,168850.000000000000
Corporate Application Project Manager. W2 only. Local candidates only.,1,,81.0000000000000000,,168480.000000000000
SAP NS2 Sr. Support Engineer - IBP,1,,167300.000000000000,,167300.000000000000
"Account Executive, Senior SMB",1,,167000.000000000000,,167000.000000000000
Regional Superintendent of Instruction,1,,167000.000000000000,,167000.000000000000
Therapeutic Recreation Therapist,1,,80.0000000000000000,,166400.000000000000
Technical Consultant IT,1,,80.0000000000000000,,166400.000000000000
Multimedia Graphic Designer,1,,80.0000000000000000,,166400.000000000000
Oncology Region Operations Lead- South- Remote,1,,166400.000000000000,,166400.000000000000
Lead Android Engineer,1,,80.0000000000000000,,166400.000000000000
Space Propulsion Systems Engineer,1,,80.0000000000000000,,166400.000000000000
Trust & Safety Specialist,1,,80.0000000000000000,,166400.000000000000
Enterprise Architect,1,,80.0000000000000000,,166400.000000000000
Part-Time Project Change Manager,1,,80.0000000000000000,,166400.000000000000
Construction Safety Trainer,1,,80.0000000000000000,,166400.000000000000
Azure Security Architect,2,,80.0000000000000000,,166400.000000000000
Technical Project / Program Manager - Contract,1,,80.0000000000000000,,166400.000000000000
Senior Construction Manager/Business Development Representative,1,,166400.000000000000,,166400.000000000000
Proposal Manager/ Writer (Mid-Level),1,,80.0000000000000000,,166400.000000000000
"Remote Backend Devloper (Golang, Postgres, Python)",1,,80.0000000000000000,,166400.000000000000
Site Reliability Engineer,2,,79.9800000000000000,,166358.400000000000
"Director, Science and Research",1,,166042.000000000000,,166042.000000000000
Scrum Master II (Remote),1,,166000.000000000000,,166000.000000000000
Principal Systems Engineer - 90376826 - Washington,1,,165173.000000000000,,165173.000000000000
Network Engineer - Onsite,1,,165000.000000000000,,165000.000000000000
Project Director,1,,165000.000000000000,,165000.000000000000
Wound Care Nurse Practitioner,1,,165000.000000000000,,165000.000000000000
Controller/REMOTE (East Coast),1,,165000.000000000000,,165000.000000000000
Associate Director of Finance,1,,165000.000000000000,,165000.000000000000
Python/Golang Developer,1,,79.0000000000000000,,164320.000000000000
"Physical Therapist, Per Visit Home Health Care",1,,78.0000000000000000,,162240.000000000000
Checker,1,,78.0000000000000000,,162240.000000000000
Java Developer,1,,78.0000000000000000,,162240.000000000000
Full Stack Developer (Java/React),1,,78.0000000000000000,,162240.000000000000
IT Scrum Master Manager (Remote),1,,162000.000000000000,,162000.000000000000
Fleet Solutions Sales Manager,1,,161606.000000000000,,161606.000000000000
IT Architect/Automation-78646,1,,160000.000000000000,,160000.000000000000
"Senior CAD/EDA Engineer, Texas Institute for Electronics, Cockrell School of Engineering",1,,160000.000000000000,,160000.000000000000
Linux Engineer,1,,160000.000000000000,,160000.000000000000
Executive Director (Administrator),1,,160000.000000000000,,160000.000000000000
Infrastructure as Code (IaC) Engineer,1,,160000.000000000000,,160000.000000000000
Senior Product Manager - REMOTE,3,,159300.000000000000,,159300.000000000000
"Director of Patient Care Services, Hospice",1,,76.5700000000000000,,159265.600000000000
Acute Care RN,1,,75.9100000000000000,,157892.800000000000
Software Engineer,3,,48386.000000000000,,157880.000000000000
"Staff Nurse II, Mom/Baby",1,,75.7800000000000000,,157622.400000000000
"Staff Nurse II, Medical Surgical",2,,75.7800000000000000,,157622.400000000000
"Staff Nurse II, Med Surg",1,,75.7800000000000000,,157622.400000000000
APP Nurse Anesthetist/UKHC,3,,75.0300000000000000,,156062.400000000000
Technical Product Owner,1,,75.0000000000000000,,156000.000000000000
Power Washer -Contract -1099,1,,75.0000000000000000,,156000.000000000000
Sr IT Project Manager ,1,,75.0000000000000000,,156000.000000000000
Program Manager-Construction and Architecture,1,,75.0000000000000000,,156000.000000000000
Transaction Manager - Contractor,1,,75.0000000000000000,,156000.000000000000
General Dentist Part-Time,1,,75.0000000000000000,,156000.000000000000
Compliance Specialist - Registration,1,,75.0000000000000000,,156000.000000000000
"Senior .NET Developer - Local to Bothell, WA",1,,75.0000000000000000,,156000.000000000000
SLP 24-25 SY,1,,75.0000000000000000,,156000.000000000000
Contractor - SAP Consultant,1,,75.0000000000000000,,156000.000000000000
Freelance Medical Animator (Remote),1,,75.0000000000000000,,156000.000000000000
Physical Therapist - 13 Week Assignment - $75/hour | Miamisburg Rehab,1,,75.0000000000000000,,156000.000000000000
Lead Creative Production Designer,1,,75.0000000000000000,,156000.000000000000
"C#, .NET Core / Rabbit MQ",1,,75.0000000000000000,,156000.000000000000
Python/Django Developer,1,,75.0000000000000000,,156000.000000000000
"Thrive Scholar Summer Academy Web Lead Instructor [Full Time, Summer Contract]",1,,75.0000000000000000,,156000.000000000000
System Engineer,1,,73.6800000000000000,,153254.400000000000
Neurology APP - Inpatient,1,,152880.000000000000,,152880.000000000000
Content Strategist - Financial or Regulated Industry,1,,73.3400000000000000,,152547.200000000000
"Staff Nurse I, Oncology",1,,73.1500000000000000,,152152.000000000000
"Staff Nurse I, Med-Surg Oncology",1,,73.1400000000000000,,152131.200000000000
Sales Broker,1,,73.0000000000000000,,151840.000000000000
Recruiting And Sales Specialist,1,,73.0000000000000000,,151840.000000000000
Health Care Sales Business Development,1,,73.0000000000000000,,151840.000000000000
New Healthcare Business Development,1,,73.0000000000000000,,151840.000000000000
Senior Power Apps Developer,1,,73.0000000000000000,,151840.000000000000
Healthcare Sales Trainee,2,,73.0000000000000000,,151840.000000000000
Senior Events Manager,1,,151100.000000000000,,151100.000000000000
"Director, On Premise Field Marketing",1,,151000.000000000000,,151000.000000000000
Physician Assistant (PA) or Nurse Practitioner (NP),4,,72.5000000000000000,,150800.000000000000
Business Analyst III - Tableau (Remote),1,,150280.000000000000,,150280.000000000000
Business Development Manager - Private Equity,1,,150000.000000000000,,150000.000000000000
D365 F&O Pre-Sales Architect,1,,150000.000000000000,,150000.000000000000
General Manager (Commercial Property Management) (140753rxv_76_2),1,,150000.000000000000,,150000.000000000000
"Oil & Gas Controller, Outsourcing",1,,150000.000000000000,,150000.000000000000
Account Manager - Technology Company,1,,150000.000000000000,,150000.000000000000
Linux/Unix Support Engineer,1,,150000.000000000000,,150000.000000000000
Fund Accounting Manager,1,,150000.000000000000,,150000.000000000000
Senior Software Engineer - Remote,1,,150000.000000000000,,150000.000000000000
Application/Production Support Specialist with AWS,1,,150000.000000000000,,150000.000000000000
Solutions Architect,1,,150000.000000000000,,150000.000000000000
SR Azure Engineer,1,,150000.000000000000,,150000.000000000000
Sr Security Engineer,1,,150000.000000000000,,150000.000000000000
In-House Counsel,1,,150000.000000000000,,150000.000000000000
Senior Associate Attorney,1,,150000.000000000000,,150000.000000000000
Business Sales Representative - Solutions Advisor,3,,150000.000000000000,,150000.000000000000
"Senior Magento Developer, $150,000 100% Remote",1,,150000.000000000000,,150000.000000000000
Specialty Pharmaceutical Sales Representative,1,,150000.000000000000,,150000.000000000000
Clinic Director - Physician Assistant (PA-C) or Nurse Practitioner (NP),1,,150000.000000000000,,150000.000000000000
Expansion Sales Lead,1,,150000.000000000000,,150000.000000000000
IT Specialist (Cloud Engineer),1,,150000.000000000000,,150000.000000000000
"Account Manager, Field Sales (Western Pennsylvania)",1,,150000.000000000000,,150000.000000000000
Computer & Information Systems,1,,150000.000000000000,,150000.000000000000
"Business Consultant-Sales - Santa Barbara, CA",1,,150000.000000000000,,150000.000000000000
Real Estate Salesperson,1,,150000.000000000000,,150000.000000000000
"Probate Litigation Attorney in Arlington, TX",1,,150000.000000000000,,150000.000000000000
Senior Product Owner (Remote),1,,150000.000000000000,,150000.000000000000
Pool Remodel Salesman,1,,150000.000000000000,,150000.000000000000
Enterprise Sales Executive,1,,150000.000000000000,,150000.000000000000
Financial Controller,1,,150000.000000000000,,150000.000000000000
Appointment Setter,1,,150000.000000000000,,150000.000000000000
Lead Development and Analytics Engineer,1,,150000.000000000000,,150000.000000000000
Senior Full Stack Engineer/Architect ,1,,150000.000000000000,,150000.000000000000
General Manager (Commercial Property Management) (140753),1,,150000.000000000000,,150000.000000000000
PNC Engineer,1,,150000.000000000000,,150000.000000000000
General Manager (Commercial Property Management) (140753rxv_76_3),1,,150000.000000000000,,150000.000000000000
"Manager, Business Continuity & Disaster Recovery",1,,150000.000000000000,,150000.000000000000
Personal Injury Litigator,3,,150000.000000000000,,150000.000000000000
Real Estate Sales Professional,1,,150000.000000000000,,150000.000000000000
Oracle Cloud Functional R2R Analyst,1,,150000.000000000000,,150000.000000000000
Substation Physical Engineer,1,,150000.000000000000,,150000.000000000000
Staff Software Engineer,1,,150000.000000000000,,150000.000000000000
Solution Architect IRC210073,2,,150000.000000000000,,150000.000000000000
Custom Home Sales Representative – Solutions Advisor,1,,150000.000000000000,,150000.000000000000
Senior Personal Injury Litigator,1,,150000.000000000000,,150000.000000000000
Power Systems Engineer,1,,150000.000000000000,,150000.000000000000
Senior Director of Real Estate Finance,1,,150000.000000000000,,150000.000000000000
General Manager (Commercial Property Management) (140753rxv_76_6),1,,150000.000000000000,,150000.000000000000
Senior DevOps Engineer (CLT),1,,72.0000000000000000,,149760.000000000000
Labor and Delivery RN - Travel,1,,72.0000000000000000,,149760.000000000000
Laboratory Operations (LabOps) Project Manager,1,,72.0000000000000000,,149760.000000000000
Radiologic Technologist - Radiographer,1,,72.0000000000000000,,149760.000000000000
Application Engineer,1,,72.0000000000000000,,149760.000000000000
Senior Project Manager - Electrical Products (Remote),1,,149200.000000000000,,149200.000000000000
"Senior/Principal Scientist, Translational Medicine Mass Spectrometry",2,,71.7250000000000000,,149188.000000000000
System Design Manager,1,,148764.000000000000,,148764.000000000000
"Accountant, Sr",1,,71.0000000000000000,,147680.000000000000
Registered Nurse (RN) Wound Care,1,,71.0000000000000000,,147680.000000000000
Senior Project Manager - Electric Transmission & Substation,1,,147500.000000000000,,147500.000000000000
Relay Technician,1,,70.1100000000000000,,145828.800000000000
Assessment Therapist,1,,70.0000000000000000,,145600.000000000000
Application Architect IV - .NET,1,,70.0000000000000000,,145600.000000000000
Hybrid Speech Language Pathologist - Crestwood Illinois,1,,70.0000000000000000,,145600.000000000000
Python Developer,1,,70.0000000000000000,,145600.000000000000
Irrigation Technician,1,,70.0000000000000000,,145600.000000000000
Speech Language Pathologist - Schools,1,,70.0000000000000000,,145600.000000000000
Mental Health Therapist ($70/ hr),1,,70.0000000000000000,,145600.000000000000
CX Content Strategist,1,,70.0000000000000000,,145600.000000000000
Computer Vision/ Machine Learning Engineer ,1,,70.0000000000000000,,145600.000000000000
.NET Developer,1,,70.0000000000000000,,145600.000000000000
Solution Architect - Enterprise Content Management Systems,1,,70.0000000000000000,,145600.000000000000
Relief Veterinarian,2,,70.0000000000000000,,145600.000000000000
Lab Operations Manager,1,,70.0000000000000000,,145600.000000000000
Telemedicine Mental Health Therapists: Personal Injury,1,,70.0000000000000000,,145600.000000000000
Psych RN | $70 local | 12 hour nights,1,,70.0000000000000000,,145600.000000000000
Azure Project Manager ~ SME,1,,70.0000000000000000,,145600.000000000000
Data Storage & Protection Engineer,1,,70.0000000000000000,,145600.000000000000
Hardware Design Engineer,2,,70.0000000000000000,,145600.000000000000
Sr Professional Recruiter (Remote) - RPO Consultant,1,,70.0000000000000000,,145600.000000000000
Cloud Security Engineer,1,,70.0000000000000000,,145600.000000000000
"Per Diem Registered Nurse - Med Surg, Days",1,,70.0000000000000000,,145600.000000000000
Marketing and Sales Executive and Event Assistant,1,,70.0000000000000000,,145600.000000000000
Nursing Administrator- Nursing Administration- Per Diem,1,,70.0000000000000000,,145600.000000000000
Electrophysiology Tech (CVT) Per Diem,1,,69.8500000000000000,,145288.000000000000
Director of Finance,1,,145000.000000000000,,145000.000000000000
Systems or Software Engineers - 100% Remote - (SSE.R.BOS.2),1,,145000.000000000000,,145000.000000000000
Systems or Software Engineers - 100% Remote - (SSE.R.RIC.2),1,,145000.000000000000,,145000.000000000000
Top Secret/SCI Systems Engineer,1,,145000.000000000000,,145000.000000000000
Information Technology Infrastructure Manager,1,,145000.000000000000,,145000.000000000000
Sr. Compliance Analyst- (Remote),1,,144000.000000000000,,144000.000000000000
Licensed Practical Nurse - Primary Care PACT - UP TO 10k SIGN ON BONUS,1,,144000.000000000000,,144000.000000000000
S and T-Transaction Diligence-Transaction Support-Mgr-Multiple Positions-1494934,1,,143728.000000000000,,143728.000000000000
Technical Program Manager (Test Systems),1,,69.0900000000000000,,143707.200000000000
Offshore Paramedic,1,,11900.0000000000000000,,142800.000000000000
Technical Business Analyst (Jersey City and Charlotte) x4,1,,68.0000000000000000,,141440.000000000000
Finance Project Leader,1,,68.0000000000000000,,141440.000000000000
Dotnet Developer,2,,67.5500000000000000,,140504.000000000000
Aviation Firefighter - Driver/Operator,1,,140125.650000000000,,140125.650000000000
Revenue Accounting Manager,1,,140000.000000000000,,140000.000000000000
Compensation and Benefits Manager,1,,140000.000000000000,,140000.000000000000
Digital Analytics Manager,1,,140000.000000000000,,140000.000000000000
Executive Producer,1,,140000.000000000000,,140000.000000000000
Senior Mechanical Engineer,1,,140000.000000000000,,140000.000000000000
Network Engineer / Network Operations Engineer,1,,140000.000000000000,,140000.000000000000
Principal Subcontract Administrator,1,,140000.000000000000,,140000.000000000000
Nurse Practitioner/Sub-Investigator (NP/AP),1,,140000.000000000000,,140000.000000000000
Sr EDI Software Engineer I (Remote),1,,140000.000000000000,,140000.000000000000
HCM Data Specialist,1,,140000.000000000000,,140000.000000000000
Technical Manager,1,,140000.000000000000,,140000.000000000000
Outside Sales Account Manager,1,,140000.000000000000,,140000.000000000000
Azure Data Architect - Remote_Fulltime,1,,140000.000000000000,,140000.000000000000
Senior Data Engineer,1,,140000.000000000000,,140000.000000000000
Senior Specialist - US Government Contracts Compliance Leader,1,,140000.000000000000,,140000.000000000000
Fixed Assets Accounting Manager,1,,140000.000000000000,,140000.000000000000
"Sr. Java Developer (Addison, Chandler, Seattle)",1,,67.0000000000000000,,139360.000000000000
Identity Engineer - Okta,1,,67.0000000000000000,,139360.000000000000
BI Consultant 1 - Multiple Positions - 1499029,1,,138800.000000000000,,138800.000000000000
Privacy Engineer,1,,66.6700000000000000,,138673.600000000000
Data Analyst - Remote,1,,137800.000000000000,,137800.000000000000
Angular Developer,1,,66.0000000000000000,,137280.000000000000
Training Specialist,1,,66.0000000000000000,,137280.000000000000
Tax Accountant - Int. Tax Services - Transfer Pricing - Manager - Multiple Positions - 1498237,1,,137114.000000000000,,137114.000000000000
Physical Therapist PRN,1,,65.8800000000000000,,137030.400000000000
"Manager, Web and SEO",1,,137000.000000000000,,137000.000000000000
Governance and Controls Analyst Project Manager,1,,65.1500000000000000,,135512.000000000000
"Occupational Therapist, Per Diem",1,,65.0300000000000000,,135262.400000000000
Senior Software Engineer - Android,1,,65.0000000000000000,,135200.000000000000
"Growth Marketing Manager Consultant - Hybrid, CA",1,,65.0000000000000000,,135200.000000000000
Physical Therapist - 13 Week Assignment - $65/hr | Corpus Christi Rehab,1,,65.0000000000000000,,135200.000000000000
"Temporary Deputy Managing Editor, House Beautiful",1,,65.0000000000000000,,135200.000000000000
C#.NET Developer,1,,65.0000000000000000,,135200.000000000000
